"","Hela-C-1","Hela-C-2","Hela-C-3","Hela-C-4","Hela-d-1","Hela-d-2","Hela-d-3","Hela-d-4"
"ZNF436",73.3869268781518,59.7890301365183,64.965756455619,68.7419085045198,62.8682671337707,73.1456083700797,68.2128240109141,68.0304834877868
"MMP24",30.3670042254421,42.7064500975131,35.7782426857032,51.8934015181179,18.0655940039571,27.3138664166753,24.1018644838563,24.7825332705509
"ID1",502.953507483885,637.037880621237,722.155582629852,693.484547560303,639.522027740081,707.845792391468,860.391086857663,675.445514628741
"MMP24-AS1",68.3257595072447,83.9893518584423,82.8548777984706,105.808623874604,70.0945047353535,78.2380241426802,80.0363801728058,58.7977750144443
"ST3GAL3",13.9182102699943,15.6590317024215,16.9475886405963,31.6751931344356,17.3429702437988,20.369663090402,21.8281036834925,23.3247371958126
"MCF2L",14.5508561913577,34.1651600780104,22.5967848541283,28.9794320166113,35.4085642477559,43.5170075113133,49.1132332878581,41.7901541424976
"PCID2",421.342183628009,431.335145984882,434.98810844197,430.647838572433,390.216830485473,427.299978010023,395.179627103229,432.479502172359
"LRFN3",28.469066461352,25.6238700585078,26.3629156631497,32.3491334138917,26.7370791258565,22.2214506440749,28.1946339245111,17.9794849217722
"THRA",317.588252524415,287.556763989921,403.917529267544,374.710795377578,203.057276604478,222.214506440749,261.482492041837,239.078556257079
"NR1D1",62.6319462149743,54.0948367901832,67.790354562385,64.0243265483273,29.6275741664896,38.887538627131,50.0227376080036,35.9589698435445
"BCL2L12",45.5505063381632,44.8417726023887,63.0826910511083,47.8497598413814,52.0289107313964,54.1647859449325,45.9299681673488,46.1635423667125
"RRAS",25.3058368545351,30.606289236551,31.0705791744265,37.0667153700842,23.1239603250651,20.8326099788202,44.1109595270578,22.3528731459871
"STAT5A",261.915411444438,246.273862228992,260.804558524731,312.708289667619,278.932771421097,283.323495711954,300.591177808095,251.226856879898
"GLIS2",75.2848646422419,69.0420943243128,88.5040740120027,81.5467738141852,54.1967820118713,74.0715021469162,85.9481582537517,77.2631919611293
"IFI6",29.7343583040787,17.7943542072971,25.4213829608944,24.9357903398748,276.042276380464,318.044512343321,323.328785811733,310.996495944168
"ELK1",234.711636825813,261.932893931413,257.03842771571,264.858529826238,215.341880527168,209.714940453456,219.645293315143,200.203994264058
"SIX1",16.4487939554478,21.3532250487565,12.2399251293195,18.8703278247701,40.4669305688639,38.887538627131,43.2014552069122,41.3042221175849
"L3HYPDH",89.8357208335996,79.718706848691,101.685531843578,99.0692210800432,127.904405548016,128.236288091849,115.507048658481,135.089102925748
"HSPA2",43.652568574073,47.6888692755563,31.0705791744265,32.3491334138917,16.6203464836405,22.6843975324931,15.4615734424739,20.8950770712488
"ZBTB1",260.017473680348,275.456603128959,240.090839075114,229.139695015066,193.66316772242,216.65914377973,159.618008185539,205.063314513186
"SGPP1",229.650469454906,267.627087277749,264.570689333753,202.856024116279,133.685395629282,159.25372961587,124.602091859936,169.590276694554
"PLEKHG3",160.692064026298,140.219511153501,181.715811535282,189.377218527157,114.174554105009,97.2188465678275,115.052296498408,125.370462427493
"PZP",171.447044689475,179.367090409555,165.709755596941,186.007517129877,83.1017324182026,84.2563336921172,66.8485675306958,85.0381043597335
"WDR60",94.2642422831432,93.9541902145287,81.9133450962152,91.6558780060264,98.2768313815266,122.217978542412,94.5884492951342,110.306569655197
"AIF1L",120.835370980405,105.342576907199,98.8609337368115,107.156504433516,79.4886136174112,69.4420332627339,63.2105502501137,77.7491239860421
"FAM78A",86.6724912267827,75.4480618389398,89.445606714258,102.438922477324,58.532524572821,57.8683610522783,59.5725329695316,79.2069200607804
"HIVEP3",14.5508561913577,7.82951585121073,12.2399251293195,10.7830444712972,16.6203464836405,7.40715021469162,9.54979536152797,9.2327084733425
"EDN2",10.7549806631774,10.6766125243783,6.59072891578743,14.1527458685776,17.3429702437988,26.8509195282571,33.1969076853115,24.7825332705509
"ABHD8",38.591401203166,47.6888692755563,60.2580929443422,62.6764459894151,23.8465840852234,42.1281668460586,44.1109595270578,35.9589698435445
"MASP1",6.32645921363377,6.40596751462696,10.3568597248088,9.43516391238507,2.16787128047485,3.24062821892758,5.45702592087312,6.31711632386592
"RAP1B",117.672141373588,90.3953193730693,112.983924270642,90.3079974471142,78.7659898572529,76.8491834774256,92.3146884947704,91.8411527085122
"TSPAN8",39.2240471245294,28.4709667316754,27.3044483654051,15.5006264274898,24.5692078453816,24.0732381977478,20.4638472032742,15.5498247972084
"RAB3IP",38.591401203166,51.9595142853076,40.4859061969799,47.8497598413814,49.8610394509216,41.6652199576404,40.9276944065484,43.2479502172359
"DYRK2",109.447744395864,126.695801955955,110.159326163876,97.047400241675,85.9922274588357,85.6451743573719,78.6721236925875,89.4114925839484
"YEATS4",144.875915992213,158.72563952909,125.223849399961,117.939548904813,121.400791706592,120.829137877157,105.047748976808,109.820637630284
"IDUA",17.7140857981746,19.2179025438809,16.9475886405963,22.2400292220505,13.7298514430074,18.5178755367291,19.5543428831287,16.0357568221212
"FGFRL1",153.732958891301,144.490156163253,179.832746130771,209.59542691084,132.962771869124,142.124694744395,181.900864029104,120.511142178365
"TMEM175",15.1835021127211,12.8119350292539,31.0705791744265,26.9576111782431,18.0655940039571,14.8143004293832,22.737608003638,19.4372809965105
"EMR2",63.2645921363377,44.8417726023887,57.4334948375762,49.8715806797496,61.4230196134541,37.4986979618763,49.1132332878581,48.5932024912763
"SIN3B",278.364205399886,261.221119763122,284.342876081115,319.44769246218,390.216830485473,456.928578868789,482.037289677126,409.640697001459
"SYNGR3",16.4487939554478,21.3532250487565,26.3629156631497,22.2400292220505,9.39410888205769,14.8143004293832,17.7353342428377,15.5498247972084
"WFIKKN1",2.53058368545351,8.54129001950261,5.64919621353208,2.69576111782431,3.61311880079142,6.01830954943694,8.64029104138245,7.28898037369145
"FBXL16",92.9989504404165,120.289834441328,153.469830467622,146.918980921425,88.8827224994689,101.385368563592,113.68804001819,114.194025854499
"TICAM1",95.52953412587,85.4129001950261,105.451662652599,136.135936450127,100.444702662001,112.033146997211,142.337426102774,102.531657256593
