"","GSM492649","GSM525014","GSM525015","GSM525016","GSM492653","GSM492654","GSM492655","GSM492656","GSM533622","GSM533623","GSM533624","GSM533625","GSM533626","GSM533627","GSM533628","GSM533629","GSM533630"
"NDUFV2",322.720126063424,1160.15870189219,951.978509890923,1062.0611789756,344.243215773275,381.537333420334,459.125568714452,478.555962093483,467.021118800745,536.309995588795,400.628703157999,422.902196015797,505.582810934902,561.537646410696,544.544597352217,587.92137898904,678.322386842685
"ETFB",224.38776424375,581.28769904068,602.890274596805,688.786837666699,343.241896364731,318.016236681942,382.19529059425,405.697412825182,391.180855936509,422.742577519823,511.379684730189,314.136883462925,372.369885659694,329.177267796823,424.360862832099,473.082796528182,488.917473342416
"FPGS",103.150497996314,68.0839967903463,94.6051730258966,88.526655174969,142.581114089721,126.487425815015,150.744085564621,125.443193065775,138.772643566326,145.643591037452,138.973658506187,167.357382395445,155.04853973008,152.322851208321,117.448560083165,130.111518800011,161.505703199599
"BTBD3",440.478509890922,1048.80091422079,1118.21574056852,1172.16739289601,372.626524783828,558.340680148951,276.648936836293,502.788203003652,243.049453899507,298.525668467805,296.872997992517,491.587587098405,240.243215773275,300.013042821747,680.102745139509,308.250632736424,374.315676890221
"GYPC",236.53901382829,198.656218774383,182.19505449267,288.649128670593,217.468977972638,194.949389549983,309.596156949746,197.122762627359,273.542539755035,176.615417925714,186.264668161546,296.227442490306,229.472955751358,160.008585737967,191.707377719998,185.721012943181,250.20565434145
"FHL2",333.036432304991,537.755156047039,572.943091045074,297.82524924033,87.1927550783047,99.894944918122,171.256863036814,69.2369615948866,78.8241121633594,89.7707687622092,125.772646147919,38.4585676986125,99.894944918122,70.9851378163284,231.280979836752,73.9293256215878,148.46008139023
"CRYZ",109.637245302775,421.986141589866,403.292976697104,296.067318615891,195.124126591799,201.442458491035,212.353373685725,217.981828417187,207.437263998815,128.98325342247,376.515757911622,333.443683223648,170.84454685063,90.4500383421623,195.032923355629,171.28875920778,52.6950608688379
"C1QB",73.1287123821856,152.065060215797,206.768583821677,299.011214959746,437.419686361511,283.634084544009,838.316143608722,387.010171426201,324.702406413266,241.687136659472,449.691649349037,248.238459893789,337.546370561384,142.778158311918,111.887725219962,210.66685538327,386.535668659682
"UBE2C",74.0624913485606,51.6786558511765,41.4759835492187,53.9193505034804,86.9115141090747,106.314578031007,111.306178498755,86.1386643302544,73.7967676742129,89.0468773056453,102.493676479738,127.644447169528,76.1005608228656,89.7392865385384,58.0964761958058,92.0473173148485,176.003853288949
"HCLS1",59.2964097660391,183.368639828145,247.929808808938,438.275282255529,315.596156949746,218.594553561564,421.955268250496,266.896067750094,195.842966080486,143.961865476655,319.803684589589,174.911337632137,193.837715338083,75.8404676969551,88.1249120444783,145.515813869376,153.404393206016
"PTPN9",264.764070865794,98.679481043602,135.125600946183,136.596179757695,157.881148323351,167.178716596135,150.473986620138,132.461291364095,141.730690640383,163.893574413831,181.935159251915,157.066745780588,191.063595012539,223.519707532312,162.065006535756,138.99344902845,199.815108443217
