"","GSM160402","GSM160407","GSM160409","GSM160411","GSM160415","GSM160423","GSM160425","GSM160426","GSM160372","GSM160386","GSM160387","GSM160403","GSM160408","GSM160410","GSM160412","GSM160416"
"TRPC5",17.2593862343669,18.291975539976,17.972862816291,17.1934657412505,17.0111008213976,18.6564143526997,16.9704929323356,16.3859378184209,17.2567675357518,18.5337028170495,17.1790281512791,16.5949386585403,17.3266497056918,16.6868091245237,16.647877280541,17.4003559852986
"PRPF39",308.752702199453,378.31496254154,350.964267338731,302.409799118689,303.983041873575,348.536069670372,265.66246855735,278.108041901663,501.191055618697,364.413065069696,377.067392273592,323.285438737829,326.043930018312,348.095104712618,341.612350825501,297.024497827758
"PDZD7",33.5387179925009,32.3053398799671,38.4115701001031,37.8482719745678,42.3310880630329,27.6701015984679,34.354399291539,26.7389311158269,35.484343161069,32.6750752698324,31.6756147591377,30.1907312366653,34.913075382654,37.6217065969855,36.1439149043695,29.1120337112461
"ATP1B4",16.4349326460353,16.5453886541607,17.5100467889576,17.4975248167832,15.9218635290445,17.2994382617949,19.5425768657664,17.3598545824751,17.5367836719333,15.9957349905394,16.3942104809882,17.6252725170754,17.0560164238922,18.9196683146049,16.6741116209914,18.6123955978005
"PACS1",128.307091950746,115.913029554461,130.809601249801,119.199131361915,124.818011194114,137.265287073981,152.06069501688,142.275447755274,138.096295296504,138.797173098886,131.921365306785,116.016896131731,144.835378578242,135.451446334484,144.272637368327,129.63359605054
"TSPAN32",91.6955492404405,105.717003508654,94.251612051136,119.393744475739,141.62946107846,98.4524629577608,148.421664947673,104.48201196139,106.259894751221,112.628529095666,115.704599549347,97.9049588361093,108.985649187755,104.254207073064,104.367492079391,132.576648861875
"EN1",18.6815942237589,17.5078807444847,18.8400898934755,18.1993361846092,19.3919256579103,21.6939035328606,19.5143488542182,19.2809844436482,17.9195462793408,20.3041283739788,17.9101050566587,18.2306914614477,21.0690109160526,19.5557369108754,19.2840391443376,17.7109930709112
"C11orf21",31.2556941623058,41.2840900224775,38.5485433447768,35.2097585836348,39.5858425527201,35.0432763238095,87.8833340412089,45.9987256830732,35.4389254841572,52.4391736572214,49.5953799086241,36.3808485667073,40.4582448223289,36.163458805606,39.9043920561599,54.952258119879
"IGF2-AS",80.412324626865,78.7899850878904,84.5152203812628,71.1078966990651,87.5222215203709,121.501597959385,123.714954276866,117.563866014731,89.7515793161613,79.8923141975592,72.0696608671995,79.8874639032026,74.1956379676637,79.4444720938766,78.5009363285443,72.8739576220993
"CYP2W1",76.4390459804932,75.721184815517,68.0687887038883,71.811064336765,71.9893568029406,100.307468040832,102.885181896474,100.406144211416,92.6474815824285,77.797303533504,73.9429019056492,76.2107481288768,61.960574762918,64.986619339985,63.4915462768126,71.4574518154285
"SHANK1",48.3155832748926,41.8588187233041,52.5040300345285,37.5373093521486,49.2012892701118,51.3520626366973,55.7219710058633,60.6387131325374,48.0847992807815,48.0067056460304,48.455448505126,44.9964872105966,42.8536511750989,50.5445072651582,45.3628870207723,52.8065881302058
"RNLS",29.0793753392406,28.0672886899202,30.9418307986015,34.516111705063,29.1469704005595,28.2105493387408,45.9681582459252,34.0933217597836,26.1100279235492,25.2574113413876,28.256377322373,28.5599157999788,26.8802220371653,28.6152892946954,27.2180609495138,25.9792048422937
"CCR10",33.4867023390206,34.7897630645502,33.958197249391,62.2367787633314,60.5434233085251,34.3791073210314,77.5959927518607,46.5997011529007,36.0391589808403,34.9898300412574,38.9422727915814,35.0599722918563,37.7855104272506,35.0331283969555,32.10263114055,45.3731835361722
"PIK3R5",57.4215094109132,55.291894374997,56.3853419816275,63.8370196889114,55.0480884758476,53.1010640538583,61.1462317428185,50.2239275004808,55.8648741371482,48.1769951326618,56.2079775904084,53.7610144610972,64.2701117639747,59.436945389941,59.3030581919531,58.9791699939675
"IKZF2",33.8613033591829,38.889196259457,32.1917350037736,31.6770662796931,32.7073144265213,34.6074217105389,29.4354317967161,33.074171174235,37.6835277783536,30.5087400599495,31.0466191503727,31.905325597338,30.461464053773,32.7800419896737,32.322838183254,30.9956962334186
"RETN",42.9548506694058,39.4312285027015,42.9585810843325,41.4466629164877,46.6408974848698,51.5201604081646,50.7896273909609,40.464699153671,51.2700547940437,39.6572023131659,42.4518932930415,39.4312285027015,44.9530123270634,40.4365112163571,44.0582260387618,37.6638580020824
"PRDM11",48.7060336238577,44.4779492013851,54.2206687653841,42.7097551581039,47.5881974245385,36.9092697646074,52.6898934286294,44.021770971098,43.5363395664042,48.1195831148012,45.985487934936,48.999256833597,54.3076214122905,51.7870928382409,41.7507764076959,36.615909272009
"LOC100506282",38.4177727625908,34.4489395081058,33.8262282387638,33.9623548214914,32.206378266525,41.6907066142917,39.1378591905129,45.135488513378,45.90260290687,35.9451058933106,32.206378266525,31.0785689866074,33.2758610304505,37.2796088885928,34.2958510323374,28.8874361122818
"KLK14",59.0650129604439,63.8840457177882,68.5315135523769,59.1447549865594,61.0936072432286,54.0465462377367,81.3668484209131,62.0069367876877,59.477692134805,57.8778458926069,65.9194464911225,54.864734930964,57.0395682555054,57.1356434164337,60.8230492356825,56.947856220333
"SEMA6D",29.8403734657563,35.4565439893733,28.6587902284119,39.3108385102359,56.7488081026077,49.4175033453158,66.5543977295566,37.3850581955339,31.3424017299134,45.1928940996344,37.3520562093817,32.6685011899152,44.3361314266997,47.3132869153561,36.4305741940853,42.0758875685249
