"","GSM506013","GSM506014","GSM506019","GSM506020","GSM506023","GSM506015","GSM506016","GSM506017","GSM506018","GSM506021","GSM506022"
"SUV39H2",9.51916389313377,1.34170753535776,9.89389883906307,19.3665593124828,11.1899832578206,1.15402743875463,4.83859768908226,8.02359562919606,2.03751430249981,1.52787153584491,15.1431399215625
"RNF128",61.4193154960036,69.6172178702414,46.1449182285157,44.5493717177806,68.0558943827468,44.4496407803044,28.6765545731834,43.1334902764547,17.2283890304073,8.63431003974823,17.5518100934962
"MOB3B",113.830796960667,103.564926213746,151.479904782635,272.947420000289,144.502307020374,60.2773826906978,184.692634462364,134.108443134896,128.488952618625,218.950774784558,156.23254681485
"ZNF350",12.3288437589937,15.2212709061895,30.5346782665707,36.8721465842486,23.7660016290432,39.4392374201615,20.2975435349463,23.6286823817085,11.9820145640442,33.1078500936991,9.74725611902593
"GLTP",176.676634506771,125.121894312246,124.314446143174,117.983679920528,97.3135091897106,118.370319302539,169.616023287044,171.85855125317,127.591093669216,175.724544108488,145.715397864134
"ETNK2",78.6572854068606,72.8225181865021,61.1761440176714,57.3498841937231,87.196035398212,78.6980870967916,98.076857420178,21.1230829316273,89.8591928981803,13.4318378187174,78.2279808898806
"HMBOX1",33.0407773753249,14.904079525493,12.7742286233397,54.0451875895078,18.8847741949499,31.145137742697,133.420761550437,9.49482425583526,16.5730641429179,28.3695559137265,51.0531134821673
"CHAC1",30.2103895185738,57.4574509309301,59.589074183633,89.9327454751869,37.8249543669105,23.518715991107,28.4827555057788,12.0709565831656,23.1644441646413,17.0584916697815,19.3772535385416
"GALNT14",12.6200797662636,109.619183275156,29.8086128407697,38.5092323070742,24.0012131730241,12.6414982319535,21.986705596797,18.9053221335947,15.5018987804295,14.8359233617386,9.89876581898835
"CCNK",6.6577398746761,7.4084734405004,12.4562886230666,15.6196118279747,4.594562816899,6.37924498739944,3.78720064182997,6.1862218335218,9.38243079323322,6.28694420085298,7.72306489268138
"TSPAN12",14.2413922797647,1.89270874279903,21.9057177532556,29.7915762392688,0.964880874780041,6.48566950732361,10.723739302598,17.5745546534916,19.6943547174283,11.7975353636393,4.05257228360074
"PDCD5",76.0048114704873,64.618729795036,53.9467772655883,43.169504982403,94.7952638667909,91.0500610282334,67.6396917301957,68.5444476798084,61.7429036868786,60.6443433048189,36.4268830267301
"CAAP1",63.3123929404992,64.7425502076453,71.1288915783335,63.4064759459204,83.8301892043523,62.0250865645019,54.0891241951678,71.9551225885752,83.7180918976271,74.0377565190742,68.759736917781
"OGDHL",459.648105926697,476.521917894082,218.883852141344,324.366027664099,455.193040274268,382.223636246445,286.349103499851,274.676252391433,94.4812274653698,41.567114420703,182.233946912952
"MAP3K6",20.1048053378328,70.8446902496852,26.624708426371,5.47378547537349,8.87577458754084,18.735890870588,17.4409586714482,3.04110405273775,26.9485476616184,4.90383537184071,22.4763346225317
"MSRA",171.919610176041,124.20319318973,252.50019971264,132.36683099378,196.302155976102,176.627645456176,131.560680461892,200.780664827186,202.397557469091,283.52508985818,194.077171812615
"TRPV2",56.3327252867805,49.1083353181129,110.838015550642,55.9838046603408,62.1558685844841,39.7844435740158,42.7285244399683,46.7970665534103,33.1946608199758,66.1777139507829,42.6572402355817
"C1GALT1C1",79.646859468287,51.4609667752539,60.9135929639343,86.0460393162203,105.528601715298,50.3900468300918,77.9011115206723,68.9517063570418,52.2865128446208,74.8756068607358,85.8428183970052
"HSPBAP1",59.0238893836115,59.0107509651554,59.909604024528,75.2429846078755,61.412509987826,34.4483664860444,32.8661278998478,61.2669481918505,57.1534220406211,60.9040595541593,53.4202985751499
"NIN",4.23471855188996,15.1768695022176,15.6196118279747,3.06101833520102,14.0591857237111,4.45040135848688,17.4676497669789,6.03322092434186,8.73169080347545,15.746141935682,20.5606574961499
"RBM15",27.8256289489986,79.8439237837985,65.5738515937386,91.8641888654772,48.1153552642521,42.6572402355817,31.4539176633023,90.9752543546443,38.4901230279598,74.0103846022085,66.8023335571031
"KCNMB4",169.667211372366,226.807032388182,200.395194241014,216.694913354792,227.282001006246,221.079044752331,330.507664195599,198.880529641824,292.515769968853,177.595156971582,303.840417497693
"C3orf14",308.923525629358,209.079260484394,241.653703369613,218.098726203551,277.054843664609,235.264375233838,221.565208707196,221.565208707196,159.895924118692,226.931312313118,171.288021847485
"HEATR3",13.7875714557154,25.9317314473406,18.2886723398629,32.6028828690877,9.53086356742516,24.5785467608789,8.56326071449115,21.5017219107367,15.515095274191,42.5840818093863,19.6131634479122
"DAPP1",19.6260784752751,27.8061023022065,18.8155966650508,17.6118401273757,29.1891682355647,43.078511499412,71.3018581125069,27.7421339398233,43.8787165378447,26.4934488316456,29.5434561518424
"DTWD1",15.2768908895329,17.9083441769934,6.15415834993355,4.88297897621467,5.40791046075056,12.4297756757134,12.6085939124825,12.5097996217089,33.0698346649407,5.58015061032626,19.3534749723656
"THAP1",21.7961229200546,5.10426104919032,47.610604450316,7.3018031156918,9.83479822936592,4.69872553226574,23.2106163229897,19.4631078136816,18.0967813386354,59.307648429647,10.3960929129662
"OLA1",346.608535763852,353.981628844699,403.952663732372,414.753845434935,367.183871010286,323.279267089312,276.82599197535,377.331305936463,317.210897960483,343.006266553243,236.574628942922
"CENPQ",41.3245061574659,32.4003979315235,24.7046319729648,2.01371917665086,33.3968835757483,36.5210381093731,28.8695225133176,14.9239469387759,47.3329137557094,37.0092218033327,20.797369713191
"PCOLCE2",16.5625498296708,18.5775582830709,26.7909988759956,107.629706498461,41.9439014485612,15.0576478486348,9.31038621120062,30.4962090219581,35.2095212272098,34.5867007726315,17.3583114681413
"ZDHHC13",56.2257412462973,62.2849970457917,95.1636725520346,46.4750636414324,47.2811734040282,43.3012845584031,27.2915909415638,71.930330263807,26.5433498682647,42.9847548909956,61.8985101131259
"WDR44",50.1442614487579,39.790578497246,66.0193720555107,49.9265663348528,74.0103846022085,49.0726178572296,32.2682067424201,48.5921608256407,55.9297049637049,76.3210541039508,55.6990670177013
"ECHDC3",24.6741654961283,37.0904337032513,67.4874181588327,32.8080064841428,21.4802454148714,13.2473814296608,47.1373725926633,77.6696173419141,3.64144011591288,16.5446584332359,69.4463283118833
"TRMT12",77.6053821888162,82.3248994946417,84.1164928808764,82.4153491453857,107.004007529746,47.1925252328376,84.3729513488259,84.2516232843226,82.7580474155675,60.4352756640189,78.4186231289547
"CNTNAP2",145.76300380909,91.1076772655993,134.746785400462,91.0247977183243,126.331853502779,83.1502510894301,89.1210125083476,63.0637821911197,56.6901031323151,73.4309355869069,48.7742153282992
"RNF219",44.0149862610007,37.1918398576231,53.689633847144,38.5946204628844,71.6134643214414,24.9294197210778,46.9420750992703,26.9228492746093,46.3542525690227,35.0227258454559,31.4352336600647
"PDGFD",78.4600661184828,51.6096491985907,70.5901245277065,33.9540964406351,75.4450531264726,49.1892440616246,72.2758048428056,107.552302901592,55.4703610544082,43.2855525317837,40.4649800292876
"FBXO2",481.463692982906,504.239257789689,459.99845957547,465.325805961019,625.560117238004,459.126879904368,918.792926113346,418.11121198365,347.721685969316,298.720462742823,717.00678555458
"KIF15",20.0222578205221,7.07780243868189,32.4926794878035,9.25443979770143,19.2177517405428,25.3891280802008,15.4722765877786,24.6933009066672,25.321756757819,41.744197849481,43.2577368813268
"AK5",326.422084653683,219.687047168425,409.126927244971,404.601045710371,274.26743673692,324.587158738413,128.21732651333,299.657453716205,209.485748438379,385.614483258953,282.658863138574
