"","GSM175776","GSM175777","GSM175778","GSM175779","GSM175780","GSM175781","GSM175782","GSM175783","GSM175784","GSM175785","GSM175766","GSM175767","GSM175768","GSM175769","GSM175770","GSM175771","GSM175772","GSM175773","GSM175774","GSM175775"
"RAD9A",95.51591,105.12408,98.009544,79.45571,116.92852,96.94052,89.23807,97.235054,98.74514,116.77858,94.03458,92.16738,84.59122,97.10263,95.312805,75.80492,82.62997,107.401665,95.56698,81.68514
"POLA1",189.0318,184.08073,153.46889,89.82662,142.2638,132.7352,133.23668,164.2809,178.16553,182.14368,120.985825,136.13094,144.04828,138.91678,131.59183,115.50715,121.35138,152.25664,149.45953,119.07002
"GLDC",57.24487,41.66105,39.731644,44.77827,46.105812,53.785603,43.67306,39.056126,43.45611,59.757366,43.995125,40.03493,34.220455,50.35699,39.0111,39.713528,60.637974,45.64418,42.905163,47.312626
"MLH3",123.15887,103.50978,112.19235,111.812256,120.892,109.549164,112.50704,118.977905,101.65851,117.00354,116.34988,105.54851,90.09142,96.00394,99.78751,88.96399,86.89531,98.20364,88.37658,121.67963
"POP5",367.0745,343.28992,383.68686,219.49434,337.6042,285.47415,419.7713,314.7351,376.1168,314.52612,263.3073,183.5908,222.74695,206.19113,255.7405,187.36345,239.96797,230.21277,232.3311,383.17236
"P3H3",108.05858,98.48881,101.00876,79.19959,95.93923,102.114944,107.66984,125.12638,130.10985,105.275826,125.02242,122.94435,124.291306,119.75233,120.47036,110.94149,122.3752,105.032936,139.72774,92.614235
"B3GNT3",68.53013,73.15034,77.75755,108.94089,95.24498,96.12982,94.45026,85.312096,94.4716,86.793396,96.167366,76.57873,92.7019,87.2771,95.663864,103.36191,99.832535,84.84693,100.12,84.17777
"MAD1L1",78.27894,83.52724,83.487976,67.76413,74.64291,80.12488,90.6869,95.23803,79.53657,69.35169,58.899345,63.212315,49.21314,68.77621,62.385433,71.97673,71.56882,58.61941,68.48834,73.80682
"NME3",188.0435,191.63205,210.35876,157.41957,260.9548,173.39247,231.41351,239.3091,242.53651,210.55656,211.24857,191.1861,232.17705,214.76451,188.82549,234.33626,193.85211,200.50008,191.81744,202.78004
"CA3",14.817878,15.4578905,14.122192,11.900015,14.47133,13.181958,14.23647,12.887001,13.300688,14.753776,46.362926,12.783702,24.378998,17.88674,24.595682,19.323524,17.370668,19.772673,25.193262,30.420582
"JADE3",107.22614,104.61976,97.21994,80.59816,113.570335,102.55651,93.666046,92.92845,95.920525,119.78808,62.67812,107.32021,79.11357,68.05962,65.72508,67.993515,68.34914,83.939644,77.66358,75.32889
"GCHFR",128.59396,87.06735,110.75369,68.467255,73.85044,84.7332,114.143,188.57976,137.08685,114.08603,69.82557,74.32202,71.80995,155.10387,89.44268,69.47015,132.07254,113.88758,80.14662,53.802048
"MRPL58",152.29861,99.91993,146.42812,119.92433,99.31586,135.1816,126.63043,170.80971,143.94783,150.9716,115.24577,97.36807,84.53166,107.63847,98.43533,91.473595,100.921036,124.84317,112.38934,199.88904
"MTERF1",57.088074,51.266277,73.96967,56.578648,53.53794,49.313007,58.304684,60.688915,69.503716,55.96929,52.16056,46.867115,52.82453,72.6917,50.19565,84.85078,58.538853,59.023445,64.25622,55.710987
"ZNF646",59.48033,59.10419,67.08163,66.105896,69.83276,59.247875,62.51279,65.260704,76.630226,68.95655,58.39664,74.07263,70.8076,90.00507,69.15138,67.659454,92.31059,65.8057,81.159836,80.13848
"MGMT",167.46298,179.59277,201.56776,119.898766,110.41474,148.35097,187.85252,141.32076,197.75319,214.74023,187.5103,181.95618,204.74463,181.88591,148.80907,158.69608,178.37039,156.20576,163.34644,161.02463
"HUS1",18.335526,11.077741,11.744204,12.407652,12.780376,12.58036,12.242863,14.889694,16.888832,11.630264,11.601688,10.970781,11.811924,11.847037,11.894069,12.8752165,12.423021,12.090623,10.013793,13.665617
"MSLN",31.669104,35.562523,31.892948,60.00235,34.63183,61.862206,41.20687,46.06841,27.501694,26.86399,33.756096,33.560246,24.390043,26.54087,138.47334,29.730062,144.70236,24.49328,22.348242,26.006676
"PLK4",177.6805,109.873726,108.25192,61.72525,87.72215,78.79969,125.72235,93.47883,135.88553,114.50808,87.829346,62.44576,58.851562,49.43271,57.300117,57.5589,45.63994,47.98952,55.672215,60.9433
"AOC3",59.895496,85.62693,95.67376,100.90511,64.52555,71.64988,81.520546,76.87423,76.818825,68.30303,775.1449,352.3816,336.26553,401.13843,221.58102,192.0989,239.59946,289.5073,386.20303,410.37906
