"","GSM82381","GSM82382","GSM82383","GSM82384","GSM82385","GSM82386","GSM82387","GSM82388","GSM82389","GSM82390","GSM82391","GSM82392"
"C4BPB",109.855053197671,113.640729947685,134.133607735507,124.056780451648,100.769581863395,111.195701532929,105.196228530028,109.500425771602,118.850405742494,93.9001581587979,105.566942033831,106.323144008605
"MAS1",225.627690657921,224.853397202144,221.835215028181,212.27262825508,224.555371314092,236.775552619234,173.608732712736,189.167404169816,238.506061430212,197.164268867982,240.600124426135,191.814661931026
"ALK",122.41389923941,148.723481919916,123.715465356967,129.008079956613,111.853809704217,116.119129229605,106.84487614294,101.390896466705,115.267986631095,117.517357476373,108.368874663225,110.723695796556
"ADRB1",107.910605043417,97.3303222542699,93.2272223914676,89.3632569406666,126.522721286499,95.287355426282,92.359621028322,95.2711373642712,91.3123026139365,86.4830341878651,79.2495609468488,96.4575176920788
"DRD4",95.8416209021512,81.8106170312186,92.462638339103,115.67971827433,115.163080107747,119.714840726634,97.1570104596496,107.541058250433,103.103196809236,89.4464237302789,92.1159849232226,102.927455697754
"GABRR2",206.662572755885,197.867332990943,185.461005886915,220.503995535214,194.765068096473,188.558277730734,180.338837245772,162.554174294598,206.077917153651,160.145530367961,186.51796527806,198.171567444761
"AMELY",136.192524156386,107.115125132816,129.69461561228,149.894254350968,122.427097321918,123.121665230842,116.707749738836,122.747363403025,106.492022141011,128.730034514519,113.429883269994,120.856672278559
"HOXB1",454.858226283667,473.615286916869,550.912548634688,445.381875853927,408.940355936093,411.20850486102,344.755072005719,408.643436225072,490.48222332414,384.299690882517,490.306176506291,437.082223325213
"NRG1",50.5450091040123,42.5358991581595,56.782440713042,45.702203557455,48.8936809435431,50.719295510872,45.0601640994889,45.2145786162196,44.7179555839122,46.0001628710538,49.4764553544442,40.5797464130707
"FGFR2",334.464962114888,344.534663292976,399.092072906065,384.454195677401,352.537006525704,375.584201171988,280.304087169607,323.746024573461,341.118949342636,326.491858497965,378.985034083209,281.213195452985
"RAX",225.781418436778,253.136900487523,249.156545992173,186.731885085284,235.578008715173,231.145933433498,183.30715047671,233.86783883667,262.993046664962,181.772615318534,267.708058419709,231.658004602145
"BMP3",167.711780594798,145.631333740382,178.588629102245,152.327196978664,160.113620152337,160.403802218308,138.387531003843,148.056161661637,181.721847687713,164.691888212831,159.795066315081,173.939307577763
"RAB9BP1",24.5149813928879,24.1593677686948,25.0330046610636,22.8927249940585,23.2794683519296,24.008918176322,24.3291834748076,23.2544296185217,24.3667874459463,25.4963255672341,25.1226721819147,23.8131562442818
"ERC2-IT1",49.5942928693734,45.0167455857327,48.7029409865418,43.5627494593098,44.5175153509314,46.4664251277702,41.6099352330357,41.492938720289,54.3441370390004,44.0526647060867,52.2697012715913,44.0459160061345
"TGDS",107.959004345313,141.800590671912,131.395237527273,116.753240976144,104.613759688165,126.278771518957,111.237853591598,136.074182834007,133.301759719403,133.429288842959,135.097475956722,125.890692020942
"DMBT1",258.452254011322,232.006742399532,249.981709955172,284.978048814361,291.620338837272,294.120873244628,229.709427847276,233.283681064744,274.390601247247,255.926079553586,250.477808331526,260.343685966788
"KCNC4",94.8412579703934,89.3686247800105,101.921133197443,79.1620935383879,107.249472862507,123.626275925146,125.287030664223,93.5413079496131,95.0368603950047,79.317890725873,95.3390670072269,92.0314748549595
"EFNA2",70.4911972007448,64.5356115519574,73.092706847867,67.3711721772897,66.9006922109118,65.8211649648034,60.0607039992901,60.156076456024,66.4273584928298,67.1266650825644,70.8390708334262,69.7995324205574
"IFNA7",106.931837764047,92.0218140481769,94.7449996852259,97.2988597564096,95.1639883048775,132.788666320527,86.4450466296512,87.745389028224,102.190184748019,90.197219957912,94.1732476896492,103.900691606529
"AVPR1B",264.556242822014,262.778446802721,257.342259132148,300.391470688956,245.771550822678,312.807294225546,220.48641564083,248.722816320748,292.563357939841,252.977470740649,255.652893723968,249.686246192396
"IFNA10",57.2594423695648,55.5395859990764,58.4743010707887,49.9375839613373,60.4009443791444,66.2300664960181,50.1938242204342,51.6567198655077,65.3461322636751,57.0836910652041,57.9372631371406,55.6413798377099
"MEFV",70.4393649410653,74.3840251765348,68.5110786884851,75.224971035613,76.7644918290017,73.9096769204608,63.1485950153169,69.7446037150661,68.4033638757986,66.7597431792651,67.5237975094222,71.1984077658
"C2orf83",123.495762783337,115.460885376326,123.055122523915,100.025105183037,117.261355148979,116.220652737528,98.986866724276,102.767039475818,135.655506894388,102.282321761142,131.222311640239,99.7341668442368
"C8orf17",70.8785557513303,70.2046063201321,82.3835878196297,77.9424106899259,77.6114768832445,86.3911729382362,62.1025097994802,70.0825487386411,76.4277412244066,66.7723521615939,71.9038159147248,63.2040011899076
"TRPV5",161.700656929687,164.000022030171,173.348349049695,171.966682308171,170.540227828149,182.274932037951,129.37527758278,145.846235197888,179.172845697494,141.591133453578,151.467841640205,168.675336384091
"RNPEP",389.212857237429,456.736754429961,371.20689520829,471.740556657499,402.107223356631,341.696276383977,439.72670328999,436.808070579031,359.846634676653,444.014637739512,397.623890039775,397.415822127032
"PAPOLB",37.3575127132709,36.9946077015677,35.3886021679141,38.6419864941094,37.6900424865248,41.5366362757886,37.2799092650535,33.4893628889176,37.1780971317642,36.8529182955705,36.7307356994477,36.9705109864272
"OCLM",93.0346234682332,93.8603577180857,91.5737603916925,94.2860330248339,92.6741953699293,102.367887117529,93.5815154606014,90.3984690531913,94.608132044133,101.916970204108,84.0117188971245,88.8770874546376
"UTF1",36.281779337928,37.244096218665,40.0129377894886,35.7051479853572,35.2576486694704,35.7817312733233,38.4239184806785,32.591615539659,36.215582874584,33.6526226753353,32.3988277115002,34.8691518468457
"PITX3",180.061626457887,199.107516366873,234.660682140616,192.297974521748,185.457806040149,161.262528801553,197.306458203113,192.993590719967,227.028536662008,164.487212445088,203.368324271882,191.019985970896
"GAGE1",49.4080908485312,46.5061453348954,46.5833352447685,47.9905541317027,46.1386642424606,46.4466093251585,37.2218237148655,41.0495160507346,46.1576713339155,45.9503357560655,47.299659942263,49.2381754007386
"OR7A5",390.331058196323,386.872097167946,365.439294007865,437.944274935416,326.1316488518,431.121645258113,288.870142534982,376.627093539572,445.248231277651,354.811150925907,361.113366979513,387.363901395994
"HCG9",197.046311299219,199.916479598884,228.783545835605,210.824871485301,205.137981062075,203.616943176871,175.129578305062,184.423108995476,215.949147801412,197.635868890425,204.844734227371,184.577244658919
"TH",48.6930167248637,42.9633381647263,43.8807038836004,53.2451306356329,46.6421670821195,45.5051758967287,41.2514798674526,43.3372688056801,45.2176022138089,42.4592852938329,44.0274034729245,46.6539579079892
"BMP10",126.052454749024,126.522721286499,129.829086658805,116.328884175977,128.126960781256,132.255150262965,106.205772718008,117.599657424445,137.216910275594,123.561786528378,141.972190547762,133.625394557666
"PTPRH",68.4495334020304,75.8998142024168,78.4148668687263,81.1231451039916,87.8498830476791,68.7457531356994,83.6860471747041,69.7068243095955,71.8698009480598,73.1149495520161,73.4748937838535,86.3262017191373
"HMHB1",32.7013358546149,34.6667770167429,38.8381404177112,37.6391749064006,34.1583247097307,31.6207950412268,34.4054788644133,32.6994806574674,35.2494715706331,34.2247353029163,40.1720511083456,33.1092076165931
"CRLF2",220.281613207998,211.432606609272,222.969632779876,184.503319055949,174.426124490963,181.05977549588,176.304608038681,184.713949416366,191.863744565007,185.279220056862,208.867284300022,201.210652874009
"CCR3",138.545170791524,131.924546002853,137.523533081869,136.879725046756,120.727530815858,137.792656875437,108.391811109619,119.823378841148,124.161079513857,142.592559652547,140.084358174041,144.495927192401
"PGR",50.8249478806312,48.6767053599465,52.1626389788914,50.1863445665759,51.9553551516968,54.4929940647042,44.0226756720161,48.6868309627866,51.6107542562767,51.2883406656099,46.3617223444131,44.3527142210368
"GPI",3187.39800565424,3849.44131975739,3359.35108625049,3428.81763969272,4584.50066935153,4253.26941045023,4405.95722332414,4626.21671065513,2985.79505832624,3319.13004802062,3415.44055665747,3920.32558899078
"GPR50",104.758810198163,91.7020078071187,101.064628395998,95.3125451625706,94.2280429314355,104.482985156502,86.0344116879139,87.3874886315275,96.4956781528198,90.6182548006668,99.6910736441038,91.1590416447561
"RRH",100.536080917853,90.5586379444815,98.7886869961894,97.6802931706457,92.1375255849203,95.0094791251907,82.8274615858944,92.7818470400813,95.983124897303,89.4967065045734,86.7371023522953,93.4928482721
"CABP1",139.927532518369,152.764005319193,150.020296412918,149.117425083104,146.418410559782,151.337371927234,154.453600262744,158.91731171032,144.883811395816,135.502773595605,141.293944600476,162.977254502143
"ST3GAL1",204.262981085075,232.1914691128,222.485714591014,268.076867404882,311.890591227803,251.157133674441,329.363023039149,307.846269446766,285.637035495912,212.058727791521,257.840057532695,294.027889748952
"ANXA13",195.755661965554,190.666280233176,196.583491872898,186.466284008959,197.554861381811,203.916085065439,162.535359478779,171.723240503276,186.148380125609,179.392685963781,198.054916545773,166.183567116682
"CYP2A13",160.322732674848,167.688945155953,176.886765155124,152.278510187557,170.454209903936,148.437906877613,134.400240016665,175.346321218032,197.618347005561,147.236794021079,185.245783716396,185.124933265344
"PBOV1",49.562122032038,48.406702582537,53.7589460767401,48.7930359607632,49.0800931640995,47.6932986651188,43.8454601200021,48.1747207281616,51.0925482694864,42.0145409495487,48.6831044088094,45.4131643274607
"ALX4",83.3570468808112,75.3112928610691,88.4686138839081,79.2066720026413,77.3226003684152,89.6813978405263,65.3720159481146,65.5799960064418,86.922741394432,87.7942113205184,76.8515638523711,76.8586198254791
"BPY2",116.841348679365,101.720292278147,118.013593393266,125.879845870301,118.502043881525,129.111290413569,86.8050239097111,96.9158825126273,120.513985186063,94.5054706543226,97.9714067825939,114.268304511864
"LHX5",63.4076897145377,61.2146792239738,67.2048780286889,61.5315932411953,59.355721359168,60.8983311367666,55.7618301580399,62.0776443324377,68.0284939517212,58.1366434539126,58.5198519525756,65.5002194293088
"NDST4",91.0014452567327,73.7834099239998,93.8672112186036,86.2668794308101,79.1678981927464,91.1579478962027,73.1092257846436,79.905363328437,97.2233924365792,80.0912583160047,91.4459400179512,94.0253835484793
"ACKR1",280.016350104346,420.515111061495,211.867245418767,361.410969588374,420.601382238032,269.488081241086,192.437450227135,248.353931760673,202.164444285733,244.17471255896,178.231864708904,167.872838247599
"TECR",467.505736371419,558.046571201137,498.914261465469,393.864912570555,552.942088080004,498.177805782213,659.845548292921,555.489925082951,438.823889991706,511.728926492681,477.988044952839,566.859376358174
"NR5A2",42.1844393235725,39.09406259082,40.8020727827333,41.3531110914886,39.9840528523377,41.1970468789684,35.010535277741,39.2889357246854,42.4738836316325,39.7189138812021,39.0728115796332,38.4109200500161
"P2RX3",62.8219562274535,56.9834948685251,59.0827678609976,61.0053921070187,56.3318838142048,52.6602679210375,54.0992399983384,57.3539179609379,57.7716811297458,61.1036356396101,56.5071971887823,58.0961872874919
"LOC643733",29.4873923530014,31.3872687308806,30.924231223554,28.4417313118391,30.051637484202,29.5339075319321,30.4082228200007,26.9664339786876,29.4155354111577,31.3450699591237,29.2156242372122,30.6311460180004
"PPBPP2",91.492931708582,77.8347016899554,84.4587024770448,82.9465723945031,79.9710207049655,77.2150361112165,70.9229267098542,68.0689516906799,85.7252454191013,68.9813221887723,82.1507320412799,72.3782494252852
"CSN1S1",38.8234333183928,40.0926021264535,31.9628219805032,36.8537995949715,35.8184446522583,37.6954525833118,34.9667874635587,34.5145281790453,37.0445329241558,36.5775036716698,40.4747502545571,38.7223421915273
"CSH1",68.8226656382288,60.8413619741733,63.2078165637697,79.1768812900523,67.7749102141233,91.9396301329654,61.0384772608201,65.3910800312286,80.1167829991431,66.6413662194428,73.4661050750252,65.0436750718852
"UGT8",68.6718326890775,64.6197796942922,69.8519164689728,69.6927796807005,79.8711586708105,65.140771806078,70.4840326026727,67.3584418532531,62.884867967538,62.2187719387074,64.0031426193,63.4918962452392
"ERVH-4",302.336705746497,284.273814660278,350.249477837558,259.314104626975,259.972805101158,285.333308943551,258.279636277667,283.85420141983,280.077960120185,279.049732624096,306.791010547857,260.588975806935
"POLR3D",166.590491442889,154.804433022809,162.241110221161,177.034989232473,156.304614822721,170.328148491361,162.066329652563,186.635639962109,153.994029976962,187.551137152588,177.343895928014,165.433495101341
"PCDH11X",30.1956878061324,29.546419124771,30.3089860373329,31.6183528621825,31.3822391918872,29.14655353335,24.3362686814864,28.702815862917,30.6274059570535,27.8450883812132,31.3159763260591,34.1250943842101
"P2RY6",143.310397082334,118.378850732404,147.855270668496,126.853373255558,151.691819616778,149.699456402473,126.538192348876,125.329148158494,119.147724304291,113.039368010301,128.30837428585,108.857555261205
"CAPZA1",483.117451179719,510.022123775224,311.216394110321,344.637619632439,468.099620505895,346.936458799079,368.919233257985,496.870585659313,331.647779429276,491.128977300641,407.637673378478,339.283650489876
"IFNA1",39.7465512981642,37.2833001009778,38.0167248081014,35.9601422591832,37.5884546055359,37.5717283734771,34.4678738909858,34.0053157806265,38.2727969926122,34.000580947542,37.5753874787566,30.2049098028939
"CCR4",162.720557557876,136.839204924613,142.196717129508,177.145749520759,136.892629724826,145.362546158918,111.5516090545,121.721177543929,147.394036509016,118.80262157564,138.346756996721,136.876946925466
"CACNA1F",342.090057035714,326.793847203172,326.325271013492,356.258499688625,286.7428515897,312.468167909006,235.658195115743,288.638096516431,299.686732306688,271.932427271346,278.999733657923,319.823061154058
"LBX1",36.7057280297448,33.4179868905085,38.8177412562873,38.6055394248231,34.907523751327,38.8949677946474,32.4690689241761,30.8797545700859,35.7044516194316,33.4861213507798,36.3804942131824,39.7115549057493
"PCK1",31.5401258971471,33.8692638889706,27.3784099636551,25.7956496238706,22.195578863813,26.2073610145612,27.7850508413387,31.2601483873638,26.4607900160304,26.9655161715975,26.6460006742501,24.6053213256306
"SLC1A2",65.3889218420679,64.9458235873236,69.7803165375887,73.8612086990823,69.1633237048059,72.8752096328601,63.4706187123029,70.8858228412458,72.0069134393104,70.3752459748875,68.1901786774201,74.6081709070117
