"","GSM505297","GSM505298","GSM505299","GSM505300","GSM505301","GSM505302","GSM505332","GSM505618","GSM505308","GSM505312","GSM505313","GSM505314","GSM505606","GSM505607","GSM505617","GSM505623"
"AFG1L",1.92742203967005,2.42555217295725,2.32678054053342,2.15321395973988,2.15321395973988,2.476222608566,2.13782070617834,2.27831668840847,2.19102454875938,2.22079458389775,2.65819297408484,2.2358715879361,2.44308412136487,2.62497531081916,2.22823451584647,2.35752491557075
"IDI2",6.64578805190236,7.68646615767783,5.09561135351059,5.71642477989161,4.79236715135243,7.13571863529574,5.47806171095204,5.95792351231808,6.8087892730631,6.75585102147395,4.44876424509199,7.13298868184474,5.55160809661065,6.25229954639086,5.23033122952141,4.91404943547374
"CYP11B1",4.35625783566337,3.61306971453433,3.13277428499863,3.30308735392424,3.18357068716186,2.96789708712806,3.2587228158078,3.50441254410435,3.32988941050012,3.30998833117,3.13790550888899,3.27602636798142,3.06996156230235,3.22419537715164,3.08713394299022,3.41391233983494
"SLAMF6",95.3763201047751,100.620135494868,79.3164261310536,97.3516449726477,92.3532115366756,101.679974322377,94.4016220987702,92.1182454134106,80.0442086094527,88.3348751200597,94.6035459555882,78.8307355558023,90.4775092201335,79.0902901136968,72.7029231290156,72.9855918810235
"GPBAR1",8.76158512867525,7.41653873951037,7.00656530309638,9.80408880830163,7.50666724132557,7.02306125962775,8.78455207344375,9.69165506044786,7.4612754876301,12.8218618208944,9.82462751997132,10.0957131381431,8.55551143071107,10.4315568564277,8.2881024220898,9.00851193289694
"BRSK1",11.106297438935,11.8495580101612,7.39929166682651,11.2126861361843,8.74814731849706,7.85731487207108,9.16040535594455,8.44709949675623,8.78401206807578,13.4956566277372,10.5929010685824,12.29195096067,8.91413672669067,13.515157220637,7.73717879849897,8.68615882297415
"CRB2",2.65605348334559,3.59130523136137,3.51670742959951,3.56797700846485,2.95525539756483,3.32584620886298,2.73761929328249,3.4212442155009,4.51758393806367,3.42798556683506,4.01979161557438,3.59419365830945,3.72444239274287,3.98165172007647,4.12681402625308,3.54410265559967
"WBP2NL",2.48023345632344,2.95525539756483,2.95525539756483,2.75060874813926,2.87018795070866,2.55394115979671,2.82991656121101,2.70128532883015,3.12190003065315,3.27129628288592,2.85037200599905,3.11782862823339,2.75780972026762,2.83914742830148,2.91949310497025,2.82661609335156
"ART5",6.47255221160208,7.87519256350132,6.53793670742946,6.54936624465389,6.8936745273432,6.31542298497909,6.16412881875198,7.56773932047672,6.60512376393666,9.27079638964168,6.83045534475823,6.95448216946815,6.74745159658019,7.13227264345287,6.53793670742946,5.04564517173669
"FAM71C",1.99020088708556,2.17165371242555,2.85714721235694,2.7755113150569,2.98766789374881,2.42855228197295,2.81553525358247,2.62932960499273,2.872109771953,2.52004404372208,3.32286791616619,3.59332283845854,2.84735029171168,2.84635216028726,2.51248287390465,2.42956788684129
"NLRP11",3.72918820435752,3.51731212717154,5.21056788941435,5.27815762672346,5.24857028657026,3.96672996775755,4.70375928181352,4.47726426973955,3.44029770611213,4.91568069918644,3.90446263789606,5.54739682328524,3.42624317874751,3.54803871553559,4.76660603577319,4.41485297206154
"IQCD",3.22814257787115,5.7160543370902,4.76235862060349,5.67762345317917,4.43946336527877,3.82459869608747,3.32699481089192,5.06369299929876,4.62031460417689,5.20887119487755,5.38175054759512,4.39110863227217,4.28922213229802,4.34915522681203,3.89293351076986,5.95949268574353
"TAGAP",2.71972006631488,2.56404594588627,2.66108637232951,2.16353799539345,3.01845815101829,2.72701768721241,2.80560198458892,3.16250050072812,3.11944930344902,2.21403991978281,2.81055053842222,2.92570047622497,2.18631901366309,3.35412077493373,1.86170191662548,2.65416304954456
"SERPINA12",3.39183774282137,4.53365151334259,2.76350126555491,3.30642049554757,2.91481678187213,2.60268112689273,3.1638004035025,2.55303917021332,3.78872293193655,5.29008213949485,4.87424111360243,3.33503646954957,2.90944491568502,4.26216519969151,3.0831455713638,2.78766890568011
"PRSS36",28.3536077781921,26.3606607289991,24.078025977144,24.7342937915512,25.1888270412652,25.4418061293319,26.3683105657424,24.9943022119326,27.48926855653,30.8830885270007,30.6984248813591,28.8756293625893,24.1932242423875,25.7727194535511,22.7633335513704,24.8833068725878
"ZDHHC15",2.57822680946803,2.50168038540657,2.44323059086688,2.01047881515243,2.25644995167871,2.11984752244122,2.20750612551388,2.4553285819527,2.44323059086688,2.95525539756483,2.52052016552721,2.37229314915988,2.53217089052387,2.75627869842108,2.2358715879361,2.26372025053632
"NUDT9P1",3.95387033540087,3.4237203408017,2.80000365095179,3.33761126793947,2.89816258779167,3.05414588351516,3.48017109193927,2.79712857316164,2.7155720291327,3.71338068498425,2.85640219719779,3.54717178406932,3.00309218821911,2.93988210366496,3.22895031960308,3.3531342781234
"BTBD16",2.92518557206728,3.28892457143959,3.27491771439256,3.08428221225562,2.66732636030835,2.41236160138972,3.11543356931718,2.36707884502786,2.78767237373631,3.62367122884925,2.53271750941566,3.06130095476235,3.01795932244027,2.61064208667902,2.61569287888906,2.79667737218592
"TSPEAR",9.91727756489511,7.90518466227019,6.78810076895004,6.46471125732726,7.16251133766018,6.26871855834781,7.25235774105606,7.92010208386223,6.1088920675625,8.3639855752919,8.02825615398194,6.97611595075067,7.78876624236916,9.03084051482261,6.32082185536367,6.61991538185238
"MIPOL1",1.72674414435925,1.54228142932968,1.68809564022086,1.66866110265992,1.6151587722411,1.8627400542642,1.66879691400954,1.9171000437161,1.85255968842278,1.73049150528027,1.72795952730351,1.71528861394764,1.79473796272209,1.88113555586173,1.73706318051264,1.73451708382549
"ALMS1P1",4.10738120007132,5.1849497998574,4.51291170031216,3.76241074378274,3.57417127123582,3.86627328752241,5.12239987030324,4.49337438663897,4.76879121343541,4.5428709472104,4.68725816899847,4.29388082657738,4.47079080959623,3.5223478700419,4.22044107603232,4.53775175160323
