"","GSM85215","GSM85216","GSM85217","GSM85218","GSM85219","GSM85220","GSM85221","GSM85222","GSM85223","GSM85224","GSM85225","GSM85226","GSM85227","GSM85228"
"DOCK5",8.12081618431083,8.96666459969471,8.65298224660921,7.90991221525832,6.85578440616601,8.1593979123244,10.287463875035,7.57740483371669,8.5786617987549,7.51613101245847,7.80532021535178,7.28708942530871,8.45725598338447,8.40283032675208
"KIAA1614",57.2503735791011,41.8399310306166,53.7869564194094,33.6545682783834,36.8681623839119,34.2306828400986,50.2820841217355,79.470155935965,47.7736140276186,63.9603662648966,44.7403476205977,52.7861292017227,48.9613415439964,54.7869732659791
"GGCT",136.143356145821,155.009513464141,160.158514943202,197.537607764117,254.601080455304,268.568642640136,415.505869185608,906.233457047807,871.261657220825,951.220019503711,842.16648014471,678.485930648833,1302.33941395747,509.628901349834
"PRSS3P2",52.1588244491498,55.8739739984511,57.9482280333206,46.1723500873362,55.0041229263978,63.299056545919,41.8205263141455,74.504990582436,67.2001896839017,261.965953309908,77.1585987746608,207.632232622192,155.57168358185,63.7008020157703
"STOML2",96.6360438660476,58.691740304296,85.5773953252965,81.552103453585,109.200654403254,108.791583657216,84.3323066165988,100.265391816091,95.3438978507411,84.9796758932254,65.4189621523348,109.443221713759,80.1865307262064,90.0092575671985
"ZNF428",20.9427419462797,14.7928532982921,20.7007152324853,17.3738528531872,21.414758723083,26.6745366805394,15.7496748588279,21.2672841473111,17.3517274168266,20.4315427758584,19.3051450505904,22.9481749732493,16.6776209962213,21.3982990037547
"GK2",14.7116250015552,17.6994872325801,13.4872193079054,14.3040797830555,12.9856674711992,12.1725236815816,20.8849349498753,15.5856915907046,17.2832870451962,13.7892025336105,12.9125330543903,12.9037141951246,20.0269140364473,13.7643754551893
"BEX4",143.678969660424,97.2024680028207,78.9273726596833,195.407659040087,113.410402409597,104.317038613372,82.3427242979417,84.7177358942258,104.986397604062,70.9638827701454,96.9344457105988,64.1884453026307,84.705805432907,35.2570926312687
"TSHR",1607.57729775704,1768.88312125185,2166.80242009971,2193.03623870271,972.650678431984,2206.78561881344,1319.74298977376,1205.71928332084,1092.48686428599,1397.74499071787,1395.50763090438,1132.97378418406,3052.9232354578,1457.83336075204
"TSPO2",18.6692940417367,18.2301487824171,20.8576766228585,16.9164073648999,17.8537471502827,15.1802422398951,16.1091223280518,20.0859361520345,15.180546796073,23.6176181309525,19.0548331759585,14.4714921098648,15.965584212921,17.6903732669459
