"","GSM160404","GSM160424","GSM160427","GSM160428","GSM160429","GSM160353","GSM160358","GSM160362","GSM160391","GSM160405"
"CFAP70",80.8630986205291,87.9573296246123,81.6474826219657,130.173475401196,87.1258890498651,81.842771649636,74.4063826624736,78.1922592736227,70.992377430988,83.0346862202846
"SOGA1",33.5062858319479,32.1038435698691,41.7506160825521,31.6821503243052,32.0732911297549,31.396489934348,33.9114036596548,41.3837706757421,31.7475091149961,34.8631514761222
"TMF1",143.289439183965,91.1294756646027,164.502629332533,134.318424744217,85.7150000804237,99.2650299812042,129.202703482191,154.029661605085,127.836712525628,130.619526191865
"SIGLEC15",63.845338178338,70.635146426154,91.4742972138811,98.4133567748031,71.6079758497189,48.8837988138266,48.850204595151,71.3266595463814,64.6039151969026,67.8768432934553
"SYT12",31.1688731004298,52.1185402671816,48.8451320702272,47.8016213519379,52.738800733222,37.5779188476229,35.0732303434036,38.2732748567456,34.0588048587318,33.5421679633736
"LOC101927770",35.581333078291,56.3734926799665,44.6572889729419,48.9386629695015,37.1828797286767,32.6021923460512,34.9098554122576,40.7269348150521,36.7904505451231,32.8675305202
"ABCC10",255.824685193306,173.700737223828,323.97944180734,156.192946573086,239.021183779096,163.506653327282,254.894528699058,258.017913289539,277.815627945247,212.373768632646
"ITGB1",16.1731121092022,16.0149729253969,14.7594214634858,17.6657347791641,16.613602311517,16.0574404042574,14.3588011988077,15.9338885232954,16.3063438610809,16.0386697219865
"UBQLN2",1242.28117149466,1339.06125459383,1213.06913508086,1346.87306814287,1324.799528511,1061.83465399988,1234.119355717,1131.15455471113,1161.51420474989,1216.28314162324
"GM2A",43.4716150235106,41.719292440824,42.559764636583,51.5852585280878,34.0482746579241,38.130906452168,35.9380515237417,38.5125148601666,33.4456815456344,41.4966747011683
"PLIN2",26.3816526373034,22.784305109862,22.4118230321247,21.9594131127321,22.9783507003545,28.8565954345706,24.1626024686865,25.0559177371486,28.0468874411916,22.8455920141146
"ZNF81",16.7742718434186,18.098230074767,16.1950236720492,16.5238320047658,16.1008320062115,18.2938858259813,16.1973228128105,17.6427468029131,16.4394679843858,16.3200700082458
"SNRNP40",191.403911745371,232.723165827929,412.90376727491,245.387634944403,295.098606520172,292.512683318781,388.582169710739,339.838938676249,197.994758223233,247.404091245383
"FNDC3A",118.385923103685,60.3343267829691,57.844530413815,53.4601009831942,56.2170758515772,148.634787618146,100.415183448034,70.8243147103674,102.529101532304,159.542904580729
"RAD21L1",14.0863429905488,15.8054593521771,14.589700096533,17.380686049407,16.9877727335772,14.65347770639,14.9138715761872,13.7179495366702,15.6284442603386,13.6896999348203
"CD72",40.0271457534259,34.2067280236065,43.9349687599081,63.0951484851992,32.6120512410389,61.0646984314227,36.613615931524,30.9965866295174,39.4577511923147,42.6943678584418
"SNAPC4",217.604040496511,258.166194108799,334.546616851559,230.474675389712,296.133462473162,220.500702657897,268.501307457462,303.344512004235,257.90797044198,235.939219042199
"LINC00837",13.3772304017821,14.6513848119675,14.2378951906503,15.9140094914666,15.1549975052758,14.1896001363508,14.1941202254926,14.6463190223013,14.0932748533619,14.5202770391419
"WASHC4",255.375229361149,164.137285202506,119.371594431577,245.472570838517,172.31185755741,206.067758204623,120.768468401113,148.520583931725,173.440546827052,275.501258988812
"IGLL3P",589.443288514177,408.801447037711,162.50592979577,202.280492854519,374.995688160581,294.822614345876,231.944308585497,621.635098800985,409.535211627027,400.385292214025
"OAZ1",3496.3357657915,962.024841158262,1500.07944180685,2083.05292490685,1006.07944180684,4363.3698550939,4242.29021857232,2897.77944180684,3353.38382460073,3667.25697237237
"ARHGAP26",27.5056963625449,24.0050914238661,27.753718724585,27.4394442300686,27.958815344452,24.1458207291954,25.8047983024586,26.2403788895971,26.9181263667422,29.5390751232108
"SLC5A4",38.1277469180974,21.922125251998,26.8206065079449,30.2306075447288,24.0558446529354,21.4516750148065,23.3129211427067,29.7294463328047,31.9826369953076,39.000523961443
"RPL3",11463.9283102277,12182.0658113067,13191.7627691919,10780.4921828755,12091.6504222364,11504.7653334652,11395.7541675018,12853.0203662951,13229.9787426643,11123.9392417483
"GK3P",33.2807181273554,40.5404870103715,32.8439551800718,38.9943834573289,33.561632452419,38.383593845148,43.3672163677659,32.1082316079419,33.7560932763673,35.5770779102876
